adding_extra_points, create_unconstraint, force_constraints, delete_outside_tri, n_points, total_tri, tri_after_delete, n_edges
15943, 3915984, 22981, 455451, 96532, 192284, 109413, 9625
13340, 3015590, 18176, 362410, 71630, 142610, 80952, 7236
8897, 2615176, 18203, 312437, 63108, 125632, 70661, 7235
6440, 2187492, 16426, 262719, 55546, 110562, 61760, 6896
5429, 1780816, 14198, 221164, 46568, 92662, 51396, 6040
6674, 1559502, 13021, 195345, 41256, 82077, 45454, 5578
4205, 1385811, 11588, 169483, 37140, 73872, 40632, 5186
4431, 1223289, 11139, 158259, 34216, 68037, 37508, 4928
2730, 1184063, 11267, 148867, 32746, 65118, 35688, 4768
2666, 1090573, 10443, 132614, 30596, 60827, 33254, 4546
2679, 980004, 9630, 121092, 28014, 55682, 30408, 4284
2368, 926457, 10090, 119412, 26352, 52380, 28520, 4102
14801, 4028444, 24548, 467091, 91270, 181812, 103698, 9320
13240, 3685706, 23383, 441440, 87134, 173556, 98460, 9032
20811, 4449873, 25369, 522536, 101750, 202717, 115868, 9954
16556, 4334847, 25471, 496842, 98875, 196979, 112654, 9794
12378, 2828438, 18413, 348019, 69498, 138376, 77994, 7836
5497, 1685520, 15809, 221864, 43692, 86932, 48262, 5798
2011, 593783, 6617, 76945, 19062, 37868, 20334, 3252
599, 182597, 2744, 20216, 6929, 13741, 7136, 1500
185, 58852, 795, 6655, 2441, 4771, 2648, 348
24, 3377, 105, 231, 210, 393, 204, 96
11, 1529, 32, 104, 97, 178, 84, 62
73, 18259, 340, 1511, 824, 1589, 856, 202
101, 31094, 628, 3885, 1384, 2710, 1414, 348
118, 41337, 595, 3866, 2013, 3935, 1914, 359
123, 42962, 1108, 4502, 2013, 3935, 1914, 359
51, 18429, 444, 1512, 960, 1839, 1008, 156
5538, 2640564, 9464, 303941, 63066, 125378, 75960, 1022
14468, 4036200, 23373, 472131, 96532, 192300, 109424, 9628
3, 46, 0, 4, 4, 2, 0, 0
4, 50, 0, 5, 4, 2, 0, 0
2, 43, 0, 3, 4, 2, 0, 0
19, 2752, 57, 230, 156, 281, 0, 15
16, 2504, 53, 232, 156, 281, 0, 15
